N. PROG. INVENT.,FG,MAPPALE,TIPOLOGIA DI BENE,DENOMINAZIONE,DESCRIZIONE,INDIRIZZO,LOCALITA'
263,48,193,PAA2 100 - Beni demaniali,Terreno - via Romagna,porzione mappale a sede stradale,Romagna  ,DESIO
267,48,267,PAA2 100 - Beni demaniali,Terreno - via Romagna,porzione mappale a sede stradale,Romagna  ,DESIO
803,48,267,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Romagna,porzione mappale a verde pubblico,Romagna  ,DESIO
270,48,267,PAA2 100 - Beni demaniali,Terreno - via Romagna,porzione mappale a sede stradale,Romagna  ,DESIO
275,48,283,PAA2 100 - Beni demaniali,Terreno - via Romagna,sede stradale,Romagna  ,DESIO
276,48,283,PAA2 100 - Beni demaniali,Terreno - via Romagna,sede stradale,Romagna  ,DESIO
269,48,319,PAA2 100 - Beni demaniali,Terreno - via S. Vincenzo De' Paoli,porzione mappale a sede stradale,San Vincenzo De Paoli  ,DESIO
810,48,319,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via San Vincenzo De' Paoli,porzione mappale a verde pubblico,San Vincenzo De Paoli  ,DESIO
278,48,349,PAA2 100 - Beni demaniali,Terreno - via S. Gianna Beretta Molla,porzione mappale a sede stradale,Santa Gianna Beretta Molla  ,DESIO
280,48,349,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via  Santa Gianna Beretta Molla,porzione mappale a residenza,Santa Gianna Beretta Molla  ,DESIO
279,48,351,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Santa Gianna Beretta Molla,porzione mappale a residenza,Santa Gianna Beretta Molla  ,DESIO
277,48,351,PAA2 100 - Beni demaniali,Terreno - via Santa Gianna Beretta Molla,porzione mappale a sede stradale,Santa Gianna Beretta Molla  ,DESIO
281,48,363,PAA2 100 - Beni demaniali,Terreno - viale Sabotino,porzione mappale a sede stradale,Sabotino  ,DESIO
281,48,363,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Sabotino,porzione mappale a residenza,Sabotino  ,DESIO
294,49,319,PAA2 100 - Beni demaniali,Terreno - via Parini,porzione mappale a sede stradale,Parini  ,DESIO
820,49,319,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Parini,porzione mappale a verde pubblico,Parini  ,DESIO
821,49,399,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Parini,porzione mappale a verde pubblico,Parini  ,DESIO
295,49,399,PAA2 100 - Beni demaniali,Terreno - via Parini,porzione mappale a sede stradale,Parini  ,DESIO
290,49,428,PAA2 100 - Beni demaniali,Terreno - via IX Novembre 1989,porzione mappale a sede stradale,IX Novembre 1989  ,DESIO
817,49,428,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via IX Novembre 1989,porzione mappale a verde pubblico,IX Novembre 1989  ,DESIO
292,49,436,PAA2 100 - Beni demaniali,Terreno - via IX Novembre 1989,sede stradale,IX Novembre 1989  ,DESIO
293,49,436,PAA2 100 - Beni demaniali,Terreno - via IX Novembre 1989,sede stradale,IX Novembre 1989  ,DESIO
297,50,163,PAA2 100 - Beni demaniali,Terreno - via Garibaldi,sede stradale,Garibaldi  ,DESIO
303,50,163,PAA2 100 - Beni demaniali,Terreno - via Garibaldi,sede stradale,Garibaldi  ,DESIO
304,50,164,PAA2 100 - Beni demaniali,Terreno - via Garibaldi,sede stradale,Garibaldi  ,DESIO
298,50,164,PAA2 100 - Beni demaniali,Terreno - via Garibaldi,sede stradale,Garibaldi  ,DESIO
827,50,183,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Togliatti,verde pubblico,Togliatti  ,DESIO
830,50,183,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Togliatti,verde pubblico,Togliatti  ,DESIO
837,50,198,PAA2 200 - Terreni (patrimonio indisponibile),Terreno - via Milano,porzione mappale a verde pubblico,Milano  ,DESIO
312,50,198,PAA2 100 - Beni demaniali,Terreno - via Togliatti,porzione mappale a sede stradale,Milano  ,DESIO
318,50,198,PAA2 300 - Terreni (patrimonio disponibile),Terreno - via Milano,porzione mappale con destinazione produttiva,Milano  ,DESIO
305,50,217,PAA2 100 - Beni demaniali,Terreno - via Paganini,sede stradale,Paganini  ,DESIO
